tweet,location,request_type,urgency
"Family stranded in Noida, require Medical.",Noida,Medical,Urgent
Looking for volunteers in Mysuru for Food & Supplies help.,Mysuru,Food & Supplies,Urgent
Children in Udaipur require urgent Humanitarian support.,Udaipur,Humanitarian,Non-Urgent
Requesting Medical support in Surat. Please help.,Surat,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Kanpur.,Kanpur,Food & Supplies,Urgent
Medical emergency reported in Goa. Need Medical.,Goa,Medical,Urgent
Senior citizens need Medical assistance in Bengaluru.,Bengaluru,Medical,Urgent
Medical emergency reported in Aizawl. Need Medical.,Aizawl,Medical,Urgent
"Supplies running low in Jaipur, need Medical.",Jaipur,Medical,Non-Urgent
Medical emergency reported in Bhopal. Need Food & Supplies.,Bhopal,Food & Supplies,Non-Urgent
Looking for volunteers in Udaipur for Medical help.,Udaipur,Medical,Urgent
Urgent call for Food & Supplies aid in Jaipur.,Jaipur,Food & Supplies,Non-Urgent
Children in Patna require urgent Medical support.,Patna,Medical,Urgent
"Family stranded in Srinagar, require Food & Supplies.",Srinagar,Food & Supplies,Non-Urgent
Community in Ranchi asking for Humanitarian assistance.,Ranchi,Humanitarian,Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Humanitarian,Urgent
Medical emergency reported in Aizawl. Need Humanitarian.,Aizawl,Humanitarian,Urgent
Looking for volunteers in Warangal for Food & Supplies help.,Warangal,Food & Supplies,Urgent
Need immediate assistance in Guwahati. Situation critical.,Guwahati,Food & Supplies,Urgent
"Supplies running low in Delhi, need Humanitarian.",Delhi,Humanitarian,Urgent
Urgent call for Humanitarian aid in Kolkata.,Kolkata,Humanitarian,Urgent
"Supplies running low in Shillong, need Medical.",Shillong,Medical,Urgent
Urgent call for Humanitarian aid in Aizawl.,Aizawl,Humanitarian,Non-Urgent
Looking for volunteers in Srinagar for Food & Supplies help.,Srinagar,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Kochi.,Kochi,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Chennai.,Chennai,Medical,Urgent
Looking for volunteers in Shillong for Medical help.,Shillong,Medical,Urgent
Community in Thiruvananthapuram asking for Medical assistance.,Thiruvananthapuram,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Imphal.,Imphal,Food & Supplies,Non-Urgent
Community in Patna asking for Medical assistance.,Patna,Medical,Urgent
"Family stranded in Udaipur, require Humanitarian.",Udaipur,Humanitarian,Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Humanitarian,Urgent
"Family stranded in Kanpur, require Humanitarian.",Kanpur,Humanitarian,Urgent
Looking for volunteers in Bengaluru for Food & Supplies help.,Bengaluru,Food & Supplies,Urgent
Requesting Food & Supplies support in Jaipur. Please help.,Jaipur,Food & Supplies,Non-Urgent
Children in Nagpur require urgent Food & Supplies support.,Nagpur,Food & Supplies,Non-Urgent
Community in Warangal asking for Medical assistance.,Warangal,Medical,Urgent
Community in Lucknow asking for Medical assistance.,Lucknow,Medical,Urgent
Looking for volunteers in Vadodara for Medical help.,Vadodara,Medical,Non-Urgent
"Family stranded in Goa, require Medical.",Goa,Medical,Urgent
Looking for volunteers in Lucknow for Food & Supplies help.,Lucknow,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Aizawl.,Aizawl,Humanitarian,Non-Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Humanitarian,Non-Urgent
Need immediate assistance in Kanpur. Situation critical.,Kanpur,Food & Supplies,Urgent
Community in Pune asking for Food & Supplies assistance.,Pune,Food & Supplies,Non-Urgent
Children in Warangal require urgent Humanitarian support.,Warangal,Humanitarian,Non-Urgent
"Supplies running low in Udaipur, need Food & Supplies.",Udaipur,Food & Supplies,Urgent
Community in Vadodara asking for Food & Supplies assistance.,Vadodara,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Lucknow.,Lucknow,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Bengaluru. Please help.,Bengaluru,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Gurugram.,Gurugram,Humanitarian,Urgent
Community in Goa asking for Food & Supplies assistance.,Goa,Food & Supplies,Urgent
Need immediate assistance in Ranchi. Situation critical.,Ranchi,Food & Supplies,Non-Urgent
Looking for volunteers in Coimbatore for Medical help.,Coimbatore,Medical,Urgent
Requesting Humanitarian support in Hyderabad. Please help.,Hyderabad,Humanitarian,Urgent
Requesting Food & Supplies support in Agartala. Please help.,Agartala,Food & Supplies,Non-Urgent
Need immediate assistance in Kochi. Situation critical.,Kochi,Humanitarian,Urgent
"Family stranded in Delhi, require Medical.",Delhi,Medical,Non-Urgent
Urgent call for Humanitarian aid in Siliguri.,Siliguri,Humanitarian,Urgent
Senior citizens need Medical assistance in Srinagar.,Srinagar,Medical,Non-Urgent
Need immediate assistance in Agartala. Situation critical.,Agartala,Humanitarian,Urgent
Community in Coimbatore asking for Humanitarian assistance.,Coimbatore,Humanitarian,Urgent
"Family stranded in Bhubaneswar, require Humanitarian.",Bhubaneswar,Humanitarian,Non-Urgent
Medical emergency reported in Indore. Need Medical.,Indore,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Delhi.,Delhi,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Guwahati.,Guwahati,Food & Supplies,Non-Urgent
Need immediate assistance in Bhopal. Situation critical.,Bhopal,Medical,Urgent
Medical emergency reported in Warangal. Need Humanitarian.,Warangal,Humanitarian,Non-Urgent
"Supplies running low in Chennai, need Food & Supplies.",Chennai,Food & Supplies,Urgent
Requesting Medical support in Hyderabad. Please help.,Hyderabad,Medical,Non-Urgent
"Supplies running low in Jaipur, need Medical.",Jaipur,Medical,Urgent
"Supplies running low in Agartala, need Food & Supplies.",Agartala,Food & Supplies,Urgent
Need immediate assistance in Noida. Situation critical.,Noida,Humanitarian,Urgent
Medical emergency reported in Jaipur. Need Humanitarian.,Jaipur,Humanitarian,Urgent
Community in Thiruvananthapuram asking for Medical assistance.,Thiruvananthapuram,Medical,Urgent
Medical emergency reported in Nagpur. Need Food & Supplies.,Nagpur,Food & Supplies,Urgent
"Supplies running low in Goa, need Medical.",Goa,Medical,Non-Urgent
Need immediate assistance in Hyderabad. Situation critical.,Hyderabad,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Hyderabad.,Hyderabad,Humanitarian,Urgent
Need immediate assistance in Chandigarh. Situation critical.,Chandigarh,Medical,Non-Urgent
"Family stranded in Agartala, require Food & Supplies.",Agartala,Food & Supplies,Urgent
"Family stranded in Leh, require Humanitarian.",Leh,Humanitarian,Urgent
Children in Thiruvananthapuram require urgent Medical support.,Thiruvananthapuram,Medical,Non-Urgent
Looking for volunteers in Warangal for Medical help.,Warangal,Medical,Urgent
Looking for volunteers in Shillong for Humanitarian help.,Shillong,Humanitarian,Non-Urgent
"Supplies running low in Srinagar, need Medical.",Srinagar,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Bhubaneswar.,Bhubaneswar,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Ranchi.,Ranchi,Medical,Non-Urgent
Requesting Food & Supplies support in Indore. Please help.,Indore,Food & Supplies,Urgent
Children in Mysuru require urgent Humanitarian support.,Mysuru,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Nagpur.,Nagpur,Food & Supplies,Non-Urgent
Community in Surat asking for Food & Supplies assistance.,Surat,Food & Supplies,Urgent
Looking for volunteers in Cuttack for Food & Supplies help.,Cuttack,Food & Supplies,Non-Urgent
Children in Itanagar require urgent Humanitarian support.,Itanagar,Humanitarian,Non-Urgent
Need immediate assistance in Cuttack. Situation critical.,Cuttack,Medical,Non-Urgent
Children in Coimbatore require urgent Humanitarian support.,Coimbatore,Humanitarian,Non-Urgent
Children in Bhopal require urgent Medical support.,Bhopal,Medical,Urgent
Looking for volunteers in Ahmedabad for Food & Supplies help.,Ahmedabad,Food & Supplies,Non-Urgent
Medical emergency reported in Chandigarh. Need Humanitarian.,Chandigarh,Humanitarian,Urgent
Looking for volunteers in Itanagar for Medical help.,Itanagar,Medical,Non-Urgent
Looking for volunteers in Lucknow for Food & Supplies help.,Lucknow,Food & Supplies,Urgent
Children in Coimbatore require urgent Food & Supplies support.,Coimbatore,Food & Supplies,Non-Urgent
Medical emergency reported in Srinagar. Need Humanitarian.,Srinagar,Humanitarian,Urgent
Medical emergency reported in Itanagar. Need Food & Supplies.,Itanagar,Food & Supplies,Non-Urgent
Need immediate assistance in Ahmedabad. Situation critical.,Ahmedabad,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Shillong. Please help.,Shillong,Humanitarian,Urgent
Children in Vadodara require urgent Humanitarian support.,Vadodara,Humanitarian,Non-Urgent
Children in Udaipur require urgent Food & Supplies support.,Udaipur,Food & Supplies,Non-Urgent
Need immediate assistance in Bhopal. Situation critical.,Bhopal,Medical,Non-Urgent
Senior citizens need Medical assistance in Kochi.,Kochi,Medical,Urgent
Community in Patna asking for Medical assistance.,Patna,Medical,Urgent
Senior citizens need Medical assistance in Kolkata.,Kolkata,Medical,Urgent
"Family stranded in Indore, require Medical.",Indore,Medical,Non-Urgent
"Family stranded in Bhopal, require Humanitarian.",Bhopal,Humanitarian,Urgent
Need immediate assistance in Leh. Situation critical.,Leh,Medical,Urgent
Urgent call for Humanitarian aid in Ahmedabad.,Ahmedabad,Humanitarian,Non-Urgent
Urgent call for Medical aid in Mysuru.,Mysuru,Medical,Non-Urgent
Looking for volunteers in Leh for Medical help.,Leh,Medical,Non-Urgent
Requesting Medical support in Nagpur. Please help.,Nagpur,Medical,Urgent
Medical emergency reported in Kochi. Need Medical.,Kochi,Medical,Urgent
Urgent call for Humanitarian aid in Kochi.,Kochi,Humanitarian,Urgent
Need immediate assistance in Patna. Situation critical.,Patna,Medical,Non-Urgent
Requesting Food & Supplies support in Jaipur. Please help.,Jaipur,Food & Supplies,Urgent
Looking for volunteers in Jaipur for Medical help.,Jaipur,Medical,Non-Urgent
Community in Kanpur asking for Humanitarian assistance.,Kanpur,Humanitarian,Urgent
Community in Chandigarh asking for Medical assistance.,Chandigarh,Medical,Urgent
Community in Imphal asking for Food & Supplies assistance.,Imphal,Food & Supplies,Non-Urgent
Looking for volunteers in Pune for Medical help.,Pune,Medical,Urgent
Children in Jaipur require urgent Humanitarian support.,Jaipur,Humanitarian,Urgent
Requesting Food & Supplies support in Cuttack. Please help.,Cuttack,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Bhopal.,Bhopal,Humanitarian,Non-Urgent
Medical emergency reported in Hyderabad. Need Medical.,Hyderabad,Medical,Non-Urgent
Need immediate assistance in Bengaluru. Situation critical.,Bengaluru,Food & Supplies,Urgent
Need immediate assistance in Kanpur. Situation critical.,Kanpur,Medical,Non-Urgent
"Supplies running low in Guwahati, need Medical.",Guwahati,Medical,Urgent
"Supplies running low in Coimbatore, need Food & Supplies.",Coimbatore,Food & Supplies,Urgent
Looking for volunteers in Coimbatore for Humanitarian help.,Coimbatore,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Jaipur.,Jaipur,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Bhopal. Please help.,Bhopal,Food & Supplies,Non-Urgent
Need immediate assistance in Vadodara. Situation critical.,Vadodara,Medical,Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Ahmedabad.,Ahmedabad,Humanitarian,Non-Urgent
"Family stranded in Kanpur, require Medical.",Kanpur,Medical,Urgent
"Family stranded in Mysuru, require Food & Supplies.",Mysuru,Food & Supplies,Non-Urgent
"Family stranded in Cuttack, require Humanitarian.",Cuttack,Humanitarian,Non-Urgent
Urgent call for Food & Supplies aid in Kanpur.,Kanpur,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Mumbai.,Mumbai,Food & Supplies,Non-Urgent
Looking for volunteers in Hyderabad for Humanitarian help.,Hyderabad,Humanitarian,Non-Urgent
"Supplies running low in Thiruvananthapuram, need Humanitarian.",Thiruvananthapuram,Humanitarian,Urgent
Urgent call for Medical aid in Gurugram.,Gurugram,Medical,Non-Urgent
Need immediate assistance in Thiruvananthapuram. Situation critical.,Thiruvananthapuram,Medical,Urgent
Community in Noida asking for Medical assistance.,Noida,Medical,Non-Urgent
Urgent call for Humanitarian aid in Cuttack.,Cuttack,Humanitarian,Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Humanitarian,Non-Urgent
Medical emergency reported in Indore. Need Humanitarian.,Indore,Humanitarian,Urgent
Community in Ahmedabad asking for Medical assistance.,Ahmedabad,Medical,Urgent
Looking for volunteers in Leh for Medical help.,Leh,Medical,Urgent
Children in Ranchi require urgent Medical support.,Ranchi,Medical,Non-Urgent
"Supplies running low in Coimbatore, need Humanitarian.",Coimbatore,Humanitarian,Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Food & Supplies,Urgent
"Family stranded in Itanagar, require Humanitarian.",Itanagar,Humanitarian,Non-Urgent
"Supplies running low in Chandigarh, need Medical.",Chandigarh,Medical,Non-Urgent
Requesting Medical support in Siliguri. Please help.,Siliguri,Medical,Non-Urgent
Community in Shillong asking for Medical assistance.,Shillong,Medical,Urgent
Senior citizens need Humanitarian assistance in Coimbatore.,Coimbatore,Humanitarian,Urgent
Looking for volunteers in Guwahati for Humanitarian help.,Guwahati,Humanitarian,Non-Urgent
Medical emergency reported in Srinagar. Need Food & Supplies.,Srinagar,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Bhopal.,Bhopal,Medical,Non-Urgent
Looking for volunteers in Indore for Medical help.,Indore,Medical,Non-Urgent
Requesting Food & Supplies support in Pune. Please help.,Pune,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Agartala.,Agartala,Medical,Urgent
"Supplies running low in Goa, need Humanitarian.",Goa,Humanitarian,Urgent
Urgent call for Humanitarian aid in Chennai.,Chennai,Humanitarian,Non-Urgent
Community in Aizawl asking for Medical assistance.,Aizawl,Medical,Non-Urgent
Senior citizens need Medical assistance in Patna.,Patna,Medical,Urgent
Requesting Humanitarian support in Bhopal. Please help.,Bhopal,Humanitarian,Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Food & Supplies,Urgent
"Supplies running low in Imphal, need Medical.",Imphal,Medical,Urgent
"Family stranded in Lucknow, require Humanitarian.",Lucknow,Humanitarian,Non-Urgent
Requesting Humanitarian support in Leh. Please help.,Leh,Humanitarian,Urgent
Senior citizens need Humanitarian assistance in Noida.,Noida,Humanitarian,Urgent
Medical emergency reported in Jaipur. Need Medical.,Jaipur,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Shillong.,Shillong,Food & Supplies,Urgent
Medical emergency reported in Delhi. Need Humanitarian.,Delhi,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Cuttack. Please help.,Cuttack,Food & Supplies,Urgent
Urgent call for Medical aid in Bhubaneswar.,Bhubaneswar,Medical,Urgent
Looking for volunteers in Chandigarh for Food & Supplies help.,Chandigarh,Food & Supplies,Non-Urgent
Community in Delhi asking for Humanitarian assistance.,Delhi,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Noida.,Noida,Medical,Non-Urgent
Children in Pune require urgent Medical support.,Pune,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Leh.,Leh,Humanitarian,Urgent
Requesting Medical support in Indore. Please help.,Indore,Medical,Non-Urgent
Community in Patna asking for Humanitarian assistance.,Patna,Humanitarian,Urgent
Looking for volunteers in Bhopal for Food & Supplies help.,Bhopal,Food & Supplies,Urgent
Need immediate assistance in Kanpur. Situation critical.,Kanpur,Humanitarian,Non-Urgent
"Family stranded in Guwahati, require Food & Supplies.",Guwahati,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Delhi.,Delhi,Humanitarian,Non-Urgent
Children in Kochi require urgent Medical support.,Kochi,Medical,Non-Urgent
Looking for volunteers in Ahmedabad for Humanitarian help.,Ahmedabad,Humanitarian,Non-Urgent
Urgent call for Medical aid in Hyderabad.,Hyderabad,Medical,Non-Urgent
Community in Delhi asking for Medical assistance.,Delhi,Medical,Non-Urgent
"Supplies running low in Aizawl, need Humanitarian.",Aizawl,Humanitarian,Non-Urgent
Urgent call for Food & Supplies aid in Imphal.,Imphal,Food & Supplies,Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Medical,Urgent
Looking for volunteers in Cuttack for Food & Supplies help.,Cuttack,Food & Supplies,Non-Urgent
Community in Delhi asking for Food & Supplies assistance.,Delhi,Food & Supplies,Non-Urgent
Medical emergency reported in Agartala. Need Medical.,Agartala,Medical,Non-Urgent
Children in Kolkata require urgent Food & Supplies support.,Kolkata,Food & Supplies,Non-Urgent
"Supplies running low in Srinagar, need Humanitarian.",Srinagar,Humanitarian,Non-Urgent
Children in Mumbai require urgent Food & Supplies support.,Mumbai,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Chandigarh.,Chandigarh,Food & Supplies,Urgent
Requesting Food & Supplies support in Ahmedabad. Please help.,Ahmedabad,Food & Supplies,Urgent
"Family stranded in Cuttack, require Humanitarian.",Cuttack,Humanitarian,Non-Urgent
Looking for volunteers in Warangal for Food & Supplies help.,Warangal,Food & Supplies,Non-Urgent
Looking for volunteers in Goa for Food & Supplies help.,Goa,Food & Supplies,Non-Urgent
"Supplies running low in Guwahati, need Medical.",Guwahati,Medical,Urgent
Children in Bengaluru require urgent Medical support.,Bengaluru,Medical,Urgent
Children in Kolkata require urgent Food & Supplies support.,Kolkata,Food & Supplies,Urgent
Senior citizens need Medical assistance in Shillong.,Shillong,Medical,Urgent
Looking for volunteers in Shillong for Food & Supplies help.,Shillong,Food & Supplies,Non-Urgent
Looking for volunteers in Kolkata for Medical help.,Kolkata,Medical,Urgent
Senior citizens need Food & Supplies assistance in Kolkata.,Kolkata,Food & Supplies,Non-Urgent
Looking for volunteers in Jaipur for Medical help.,Jaipur,Medical,Non-Urgent
Children in Mumbai require urgent Humanitarian support.,Mumbai,Humanitarian,Urgent
Senior citizens need Medical assistance in Siliguri.,Siliguri,Medical,Non-Urgent
Community in Kochi asking for Humanitarian assistance.,Kochi,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Siliguri.,Siliguri,Medical,Urgent
Need immediate assistance in Siliguri. Situation critical.,Siliguri,Food & Supplies,Urgent
Children in Shillong require urgent Medical support.,Shillong,Medical,Urgent
Requesting Medical support in Ahmedabad. Please help.,Ahmedabad,Medical,Non-Urgent
Children in Kolkata require urgent Humanitarian support.,Kolkata,Humanitarian,Urgent
Looking for volunteers in Patna for Humanitarian help.,Patna,Humanitarian,Urgent
Looking for volunteers in Bhubaneswar for Humanitarian help.,Bhubaneswar,Humanitarian,Non-Urgent
Community in Mumbai asking for Humanitarian assistance.,Mumbai,Humanitarian,Urgent
Need immediate assistance in Indore. Situation critical.,Indore,Medical,Non-Urgent
Looking for volunteers in Leh for Food & Supplies help.,Leh,Food & Supplies,Non-Urgent
Medical emergency reported in Chandigarh. Need Food & Supplies.,Chandigarh,Food & Supplies,Urgent
Senior citizens need Medical assistance in Thiruvananthapuram.,Thiruvananthapuram,Medical,Urgent
"Family stranded in Leh, require Humanitarian.",Leh,Humanitarian,Urgent
Urgent call for Medical aid in Warangal.,Warangal,Medical,Non-Urgent
Senior citizens need Medical assistance in Indore.,Indore,Medical,Urgent
Looking for volunteers in Delhi for Humanitarian help.,Delhi,Humanitarian,Urgent
"Supplies running low in Coimbatore, need Medical.",Coimbatore,Medical,Urgent
Looking for volunteers in Shillong for Food & Supplies help.,Shillong,Food & Supplies,Urgent
Requesting Food & Supplies support in Goa. Please help.,Goa,Food & Supplies,Non-Urgent
"Family stranded in Warangal, require Food & Supplies.",Warangal,Food & Supplies,Non-Urgent
Community in Jaipur asking for Medical assistance.,Jaipur,Medical,Non-Urgent
Looking for volunteers in Lucknow for Food & Supplies help.,Lucknow,Food & Supplies,Non-Urgent
"Family stranded in Imphal, require Humanitarian.",Imphal,Humanitarian,Non-Urgent
Medical emergency reported in Srinagar. Need Medical.,Srinagar,Medical,Urgent
Children in Thiruvananthapuram require urgent Humanitarian support.,Thiruvananthapuram,Humanitarian,Urgent
Medical emergency reported in Agartala. Need Medical.,Agartala,Medical,Urgent
"Family stranded in Kochi, require Medical.",Kochi,Medical,Non-Urgent
Requesting Medical support in Cuttack. Please help.,Cuttack,Medical,Non-Urgent
"Supplies running low in Lucknow, need Food & Supplies.",Lucknow,Food & Supplies,Non-Urgent
Looking for volunteers in Ranchi for Humanitarian help.,Ranchi,Humanitarian,Non-Urgent
"Supplies running low in Jaipur, need Medical.",Jaipur,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Bengaluru.,Bengaluru,Humanitarian,Urgent
Medical emergency reported in Warangal. Need Medical.,Warangal,Medical,Urgent
Children in Udaipur require urgent Medical support.,Udaipur,Medical,Non-Urgent
Looking for volunteers in Srinagar for Medical help.,Srinagar,Medical,Urgent
Senior citizens need Food & Supplies assistance in Kanpur.,Kanpur,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Srinagar.,Srinagar,Humanitarian,Non-Urgent
Children in Siliguri require urgent Medical support.,Siliguri,Medical,Urgent
Requesting Food & Supplies support in Vadodara. Please help.,Vadodara,Food & Supplies,Urgent
Medical emergency reported in Thiruvananthapuram. Need Medical.,Thiruvananthapuram,Medical,Non-Urgent
Urgent call for Medical aid in Jaipur.,Jaipur,Medical,Urgent
Requesting Food & Supplies support in Kochi. Please help.,Kochi,Food & Supplies,Non-Urgent
Children in Pune require urgent Medical support.,Pune,Medical,Non-Urgent
Need immediate assistance in Guwahati. Situation critical.,Guwahati,Medical,Urgent
Requesting Humanitarian support in Siliguri. Please help.,Siliguri,Humanitarian,Urgent
Children in Hyderabad require urgent Food & Supplies support.,Hyderabad,Food & Supplies,Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Food & Supplies,Urgent
"Family stranded in Delhi, require Food & Supplies.",Delhi,Food & Supplies,Urgent
Requesting Food & Supplies support in Hyderabad. Please help.,Hyderabad,Food & Supplies,Urgent
Looking for volunteers in Vadodara for Humanitarian help.,Vadodara,Humanitarian,Urgent
Children in Mysuru require urgent Food & Supplies support.,Mysuru,Food & Supplies,Urgent
"Supplies running low in Vadodara, need Food & Supplies.",Vadodara,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Leh.,Leh,Food & Supplies,Urgent
Children in Delhi require urgent Humanitarian support.,Delhi,Humanitarian,Non-Urgent
Looking for volunteers in Indore for Medical help.,Indore,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Srinagar.,Srinagar,Food & Supplies,Urgent
Medical emergency reported in Nagpur. Need Food & Supplies.,Nagpur,Food & Supplies,Urgent
"Supplies running low in Guwahati, need Humanitarian.",Guwahati,Humanitarian,Non-Urgent
Children in Jaipur require urgent Medical support.,Jaipur,Medical,Non-Urgent
Requesting Food & Supplies support in Aizawl. Please help.,Aizawl,Food & Supplies,Urgent
Looking for volunteers in Nagpur for Food & Supplies help.,Nagpur,Food & Supplies,Urgent
Requesting Food & Supplies support in Lucknow. Please help.,Lucknow,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Mysuru.,Mysuru,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Jammu.,Jammu,Medical,Urgent
Need immediate assistance in Hyderabad. Situation critical.,Hyderabad,Medical,Non-Urgent
Medical emergency reported in Noida. Need Medical.,Noida,Medical,Non-Urgent
Medical emergency reported in Guwahati. Need Food & Supplies.,Guwahati,Food & Supplies,Non-Urgent
Community in Guwahati asking for Food & Supplies assistance.,Guwahati,Food & Supplies,Non-Urgent
Community in Bhubaneswar asking for Medical assistance.,Bhubaneswar,Medical,Urgent
"Family stranded in Mumbai, require Food & Supplies.",Mumbai,Food & Supplies,Non-Urgent
Requesting Medical support in Kochi. Please help.,Kochi,Medical,Urgent
Requesting Medical support in Chennai. Please help.,Chennai,Medical,Non-Urgent
Community in Gurugram asking for Medical assistance.,Gurugram,Medical,Non-Urgent
"Supplies running low in Warangal, need Medical.",Warangal,Medical,Non-Urgent
Community in Kolkata asking for Medical assistance.,Kolkata,Medical,Urgent
Medical emergency reported in Goa. Need Food & Supplies.,Goa,Food & Supplies,Urgent
Children in Hyderabad require urgent Humanitarian support.,Hyderabad,Humanitarian,Urgent
Looking for volunteers in Ranchi for Humanitarian help.,Ranchi,Humanitarian,Urgent
"Supplies running low in Leh, need Medical.",Leh,Medical,Non-Urgent
Children in Thiruvananthapuram require urgent Food & Supplies support.,Thiruvananthapuram,Food & Supplies,Urgent
Community in Indore asking for Medical assistance.,Indore,Medical,Non-Urgent
"Family stranded in Kanpur, require Humanitarian.",Kanpur,Humanitarian,Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Food & Supplies,Urgent
Requesting Medical support in Noida. Please help.,Noida,Medical,Urgent
"Family stranded in Cuttack, require Food & Supplies.",Cuttack,Food & Supplies,Urgent
Medical emergency reported in Chennai. Need Medical.,Chennai,Medical,Urgent
Community in Indore asking for Food & Supplies assistance.,Indore,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Surat.,Surat,Food & Supplies,Urgent
Senior citizens need Medical assistance in Mysuru.,Mysuru,Medical,Urgent
Requesting Medical support in Aizawl. Please help.,Aizawl,Medical,Urgent
Senior citizens need Food & Supplies assistance in Coimbatore.,Coimbatore,Food & Supplies,Urgent
Community in Agartala asking for Food & Supplies assistance.,Agartala,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Guwahati.,Guwahati,Food & Supplies,Non-Urgent
Medical emergency reported in Cuttack. Need Humanitarian.,Cuttack,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Vadodara. Please help.,Vadodara,Food & Supplies,Non-Urgent
Medical emergency reported in Chandigarh. Need Food & Supplies.,Chandigarh,Food & Supplies,Non-Urgent
Looking for volunteers in Vadodara for Medical help.,Vadodara,Medical,Non-Urgent
Medical emergency reported in Coimbatore. Need Humanitarian.,Coimbatore,Humanitarian,Non-Urgent
Medical emergency reported in Chandigarh. Need Medical.,Chandigarh,Medical,Non-Urgent
"Family stranded in Vadodara, require Food & Supplies.",Vadodara,Food & Supplies,Non-Urgent
"Supplies running low in Kochi, need Food & Supplies.",Kochi,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Mysuru.,Mysuru,Food & Supplies,Urgent
"Supplies running low in Mysuru, need Medical.",Mysuru,Medical,Urgent
Urgent call for Food & Supplies aid in Thiruvananthapuram.,Thiruvananthapuram,Food & Supplies,Urgent
"Family stranded in Kolkata, require Food & Supplies.",Kolkata,Food & Supplies,Urgent
Children in Pune require urgent Humanitarian support.,Pune,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Imphal.,Imphal,Humanitarian,Urgent
Looking for volunteers in Mysuru for Medical help.,Mysuru,Medical,Urgent
Requesting Medical support in Vadodara. Please help.,Vadodara,Medical,Urgent
Requesting Medical support in Chandigarh. Please help.,Chandigarh,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Chennai.,Chennai,Humanitarian,Urgent
Requesting Medical support in Ranchi. Please help.,Ranchi,Medical,Non-Urgent
Children in Goa require urgent Humanitarian support.,Goa,Humanitarian,Urgent
"Supplies running low in Kanpur, need Medical.",Kanpur,Medical,Urgent
Medical emergency reported in Cuttack. Need Humanitarian.,Cuttack,Humanitarian,Non-Urgent
"Family stranded in Mumbai, require Food & Supplies.",Mumbai,Food & Supplies,Non-Urgent
Looking for volunteers in Surat for Humanitarian help.,Surat,Humanitarian,Urgent
"Supplies running low in Mysuru, need Humanitarian.",Mysuru,Humanitarian,Non-Urgent
Requesting Humanitarian support in Noida. Please help.,Noida,Humanitarian,Urgent
